Scenario,Checkers,Scanners,Avg_Wait
Moderate (Lambda=5),4,4,3.0062875041607726
Moderate (Lambda=5),4,5,1.9991955064946072
Moderate (Lambda=5),4,6,2.805029480720213
Moderate (Lambda=5),4,7,1.5115517123151023
Moderate (Lambda=5),4,8,0.936433538887063
Moderate (Lambda=5),4,9,1.3005172961415576
Moderate (Lambda=5),5,4,1.571467637683121
Moderate (Lambda=5),5,5,0.4041873398200183
Moderate (Lambda=5),5,6,0.3507312551918414
Moderate (Lambda=5),5,7,0.2501719008538425
Moderate (Lambda=5),5,8,0.4850997306644803
Moderate (Lambda=5),5,9,0.1973014059318646
Moderate (Lambda=5),6,4,1.186427454449014
Moderate (Lambda=5),6,5,0.2905737452875285
Moderate (Lambda=5),6,6,0.12269139148518819
Moderate (Lambda=5),6,7,0.08757825752412722
Moderate (Lambda=5),6,8,0.06437711906512313
Moderate (Lambda=5),6,9,0.07968259425398892
Moderate (Lambda=5),7,4,1.154251235766896
Moderate (Lambda=5),7,5,0.2079958457619397
Moderate (Lambda=5),7,6,0.07591570480801908
Moderate (Lambda=5),7,7,0.04263129175226928
Moderate (Lambda=5),7,8,0.04856386899363266
Moderate (Lambda=5),7,9,0.025482438439531973
Moderate (Lambda=5),8,4,0.6514056133484382
Moderate (Lambda=5),8,5,0.19324264600071508
Moderate (Lambda=5),8,6,0.08409114997212362
Moderate (Lambda=5),8,7,0.028642211332635788
Moderate (Lambda=5),8,8,0.019368231560486608
Moderate (Lambda=5),8,9,0.006065614758056221
Moderate (Lambda=5),9,4,1.969426044635694
Moderate (Lambda=5),9,5,0.19689781450232816
Moderate (Lambda=5),9,6,0.06752634968736061
Moderate (Lambda=5),9,7,0.032935247802820845
Moderate (Lambda=5),9,8,0.02282912757026534
Moderate (Lambda=5),9,9,0.006156468548081783
Busy (Lambda=50),38,38,1.5003028875671829
Busy (Lambda=50),38,39,2.7282986834925436
Busy (Lambda=50),38,40,1.1464245286606407
Busy (Lambda=50),38,41,0.7323014433999642
Busy (Lambda=50),38,42,0.8624102282820432
Busy (Lambda=50),38,43,0.7974348060609296
Busy (Lambda=50),38,44,0.33404471007925157
Busy (Lambda=50),39,38,1.2710626221787338
Busy (Lambda=50),39,39,0.8085783341148252
Busy (Lambda=50),39,40,0.3365905163077094
Busy (Lambda=50),39,41,0.31779179779915473
Busy (Lambda=50),39,42,0.44683549507229064
Busy (Lambda=50),39,43,0.33085369446419965
Busy (Lambda=50),39,44,0.256409108148732
Busy (Lambda=50),40,38,0.7020729201861842
Busy (Lambda=50),40,39,0.7039045156805385
Busy (Lambda=50),40,40,0.28113994193614344
Busy (Lambda=50),40,41,0.27582473639662625
Busy (Lambda=50),40,42,0.27816045254760674
Busy (Lambda=50),40,43,0.17528773849575677
Busy (Lambda=50),40,44,0.5007849046083669
Busy (Lambda=50),41,38,1.596740194722301
Busy (Lambda=50),41,39,0.3238211763193382
Busy (Lambda=50),41,40,0.3392065953220244
Busy (Lambda=50),41,41,0.2036802611917901
Busy (Lambda=50),41,42,0.15975039870539298
Busy (Lambda=50),41,43,0.14702545000611375
Busy (Lambda=50),41,44,0.10198084807316574
Busy (Lambda=50),42,38,0.7433826217385205
Busy (Lambda=50),42,39,0.4135839412244604
Busy (Lambda=50),42,40,0.23453113593988942
Busy (Lambda=50),42,41,0.20199008161560264
Busy (Lambda=50),42,42,0.11182459133197888
Busy (Lambda=50),42,43,0.11354099408511306
Busy (Lambda=50),42,44,0.08501466267887615
Busy (Lambda=50),43,38,0.8514296419368709
Busy (Lambda=50),43,39,0.4078570885420816
Busy (Lambda=50),43,40,0.19397215391872366
Busy (Lambda=50),43,41,0.1974253712247835
Busy (Lambda=50),43,42,0.11471224571728715
Busy (Lambda=50),43,43,0.09446207042393802
Busy (Lambda=50),43,44,0.08184254368722493
Busy (Lambda=50),44,38,1.3191951604738115
Busy (Lambda=50),44,39,0.33206336316792767
Busy (Lambda=50),44,40,0.21289024792054134
Busy (Lambda=50),44,41,0.17105670949672255
Busy (Lambda=50),44,42,0.10431221683096234
Busy (Lambda=50),44,43,0.07394007983317921
Busy (Lambda=50),44,44,0.05704251571425539
